"status_id","corpus_user_id","Gender"
"x1080884949601972224","x1096","m"
"x1080884046379581441","x1928","f"
"x1080525127358533633","x1928","f"
"x1080822260297072641","x1928","f"
"x1080857408270946304","x1068","m"
"x1080741027491794946",,
"x1080533746208653312","x518","m"
"x1080451168881598464","x649","f"
"x1070305859861925888","x62","m"
"x1067433430596575237","x936","i"
"x1053879236900077568","x936","i"
"x1067426071086157826","x972","m"
"x1067398463678230535","x1754","m"
"x1067333330780213248","x687","m"
"x1067181419343032322","x186","f"
"x1061288725722923008","x186","f"
"x1067108906508476416","x1808","f"
"x1059340175560581120","x1308","m"
"x1060101147548102657","x1308","m"
"x1066988514972188672","x1308","m"
"x1066973168089337857","x851","m"
"x1066952950172532736","x1632","m"
"x1066946065373569024","x331","m"
"x1059351667861348353","x1567","m"
"x1060103676138799104","x1567","m"
"x1054374178441359361","x1567","m"
"x1059741432343420928","x65","a"
"x1059455132054765568","x1059","f"
"x1059455450528256000","x1059","f"
"x1055466412779757568","x1059","f"
"x1055168389273001986","x1059","f"
"x1059346958995939335","x1795","m"
"x1059342902097272832","x1053","m"
"x1059342857587318784","x1053","m"
"x1055128425294376961","x1053","m"
"x1054770445788966912","x1053","m"
"x1053014995896811521","x1053","m"
"x1057043999008133128",,
"x1057619367679221760",,
"x1058847798249033728",,
"x1057609090527039488",,
"x1056962416544792577","x217","f"
"x1054438585812873217","x217","f"
"x1054795511612497920",,
"x1054676194531180545","x1131","m"
"x1054377696938127360","x703","f"
"x1054268864618553344","x136","f"
"x1054053390118989830","x848","f"
"x1053987961388326912","x1872","f"
"x1053970062296662016","x1623","m"
"x1053901753471692800","x1803","i"
"x1053689606598729729",,
"x1053689046449438723","x647","i"
"x1053687554036391937",,
"x1053584797908512768","x1663","f"
"x1053528576895713280",,
"x1053217987388456960","x752","m"
"x1053152734944419840","x1920","a"
"x1052881041403375616","x1920","a"
"x1052965891468652545","x366","a"
"x1052904124520562688","x1800","m"
"x1052903355633274880","x1352","m"
"x1052899107617067008","x1392","i"
"x1052826311113302016","x710","m"
"x1046362233452867585","x1449","m"
